DEVICE,DATE,DISSOLVED OXYGEN,ORP,PH,CONDUCTIVITY,TEMPERATURE
Lifeguard Dock DataPod™,13:02 08/06/2025,2.700000047683716,-87.30000305175781,5.375,44930,75.26840019226074
Lifeguard Dock DataPod™,12:32 08/06/2025,2.690000057220459,-87.30000305175781,5.336999893188477,43940,75.61220016479491
Lifeguard Dock DataPod™,12:03 08/06/2025,2.839999914169312,-84.80000305175781,5.308000087738037,43890,75.44479942321777
Lifeguard Dock DataPod™,11:33 08/06/2025,2.529999971389771,-87,5.372000217437744,43530,75.66979942321777
Lifeguard Dock DataPod™,11:03 08/06/2025,2.599999904632568,-86.80000305175781,5.396999835968018,43880,75.7490005493164
Lifeguard Dock DataPod™,10:33 08/06/2025,2.700000047683716,-86.5999984741211,5.323999881744385,44060,75.95600013732911
Lifeguard Dock DataPod™,10:03 08/06/2025,3.049999952316284,-86.0999984741211,5.394000053405762,43940,75.99559898376464
Lifeguard Dock DataPod™,09:33 08/06/2025,2.849999904632568,-83.19999694824219,5.364999771118164,43810,75.73640060424805
Lifeguard Dock DataPod™,09:03 08/06/2025,3.690000057220459,-80.9000015258789,5.438000202178955,46310,75.05059967041015
Lifeguard Dock DataPod™,08:34 08/06/2025,2.97000002861023,-73.9000015258789,5.447999954223633,48110,74.25139923095703
Lifeguard Dock DataPod™,08:04 08/06/2025,3.089999914169312,-73.0999984741211,5.499000072479248,47070,73.86439895629883
Lifeguard Dock DataPod™,07:34 08/06/2025,3.119999885559082,-73,5.453999996185303,48010,73.66999931335448
Lifeguard Dock DataPod™,07:04 08/06/2025,3.309999942779541,-70.30000305175781,5.454999923706055,47410,73.61959953308106
Lifeguard Dock DataPod™,06:34 08/06/2025,3.549999952316284,-67.5,5.38700008392334,46180,73.85360145568848
Lifeguard Dock DataPod™,06:04 08/06/2025,3.75,-66.69999694824219,5.383999824523926,46200,73.94900054931641
Lifeguard Dock DataPod™,05:34 08/06/2025,3.890000104904175,-63.90000152587891,5.329999923706055,45690,74.37019920349121
Lifeguard Dock DataPod™,05:05 08/06/2025,4.480000019073486,-57,5.229000091552734,45620,74.47639923095704
Lifeguard Dock DataPod™,04:35 08/06/2025,4.010000228881836,-56,5.370999813079834,46120,74.66899986267089
Lifeguard Dock DataPod™,04:05 08/06/2025,3.519999980926514,-51.90000152587891,5.217999935150147,44570,75.30259857177734
Lifeguard Dock DataPod™,03:35 08/06/2025,3.809999942779541,-50.09999847412109,5.331999778747559,45720,75.36559829711915
Lifeguard Dock DataPod™,03:05 08/06/2025,3.97000002861023,-38.5,5.360000133514404,45600,75.43759994506836
Lifeguard Dock DataPod™,02:35 08/06/2025,5.460000038146973,-33.40000152587891,5.47599983215332,45860,75.56000137329102
Lifeguard Dock DataPod™,02:05 08/06/2025,6.059999942779541,-28.70000076293945,5.714000225067139,45700,75.76160049438477
Lifeguard Dock DataPod™,01:36 08/06/2025,4.199999809265137,-24.89999961853027,6.032999992370605,46840,76.12519989013671
Lifeguard Dock DataPod™,01:06 08/06/2025,4.110000133514404,-24.89999961853027,6.091000080108643,42900,76.17019920349122
Lifeguard Dock DataPod™,00:36 08/06/2025,4.179999828338623,-18.39999961853027,6.236000061035156,42340,76.32860145568847
Lifeguard Dock DataPod™,00:06 08/06/2025,4.179999828338623,-20.79999923706055,6.755000114440918,43140,76.26559829711914
Lifeguard Dock DataPod™,23:36 08/05/2025,5.309999942779541,-19.20000076293945,6.823999881744385,46750,75.64820098876953
Lifeguard Dock DataPod™,23:06 08/05/2025,4.21999979019165,-6.300000190734863,6.913000106811524,46460,75.54379997253417
Lifeguard Dock DataPod™,22:36 08/05/2025,4.769999980926514,-2.700000047683716,6.941999912261963,47160,75.54920043945313
Lifeguard Dock DataPod™,22:07 08/05/2025,4.760000228881836,-3.900000095367432,6.978000164031982,47950,75.48979873657225
Lifeguard Dock DataPod™,21:37 08/05/2025,5.329999923706055,1.399999976158142,6.951000213623047,48980,75.56720085144043
Lifeguard Dock DataPod™,21:07 08/05/2025,3.700000047683716,2.400000095367432,6.985000133514404,48320,75.38720016479492
Lifeguard Dock DataPod™,20:37 08/05/2025,3.529999971389771,9,6.918000221252441,48040,75.13520126342775
Lifeguard Dock DataPod™,20:07 08/05/2025,3.369999885559082,1.700000047683716,6.697000026702881,48360,74.74280052185058
Lifeguard Dock DataPod™,19:37 08/05/2025,3.279999971389771,0,6.771999835968018,46860,74.75
Lifeguard Dock DataPod™,19:07 08/05/2025,3.22000002861023,-7.199999809265137,6.793000221252441,48460,74.55019989013671
Lifeguard Dock DataPod™,18:37 08/05/2025,3.329999923706055,-21.70000076293945,6.604000091552734,48130,74.4908016204834
Lifeguard Dock DataPod™,18:07 08/05/2025,3.190000057220459,-22.39999961853027,6.413000106811523,48440,74.45299835205078
Lifeguard Dock DataPod™,17:38 08/05/2025,2.869999885559082,13.39999961853027,6.354000091552734,42770,74.74459953308106
Lifeguard Dock DataPod™,17:08 08/05/2025,2.789999961853027,8.800000190734863,6.254000186920166,46880,74.53939895629884
Lifeguard Dock DataPod™,16:38 08/05/2025,2.859999895095825,-1.100000023841858,6.164000034332275,47910,74.59160118103027
Lifeguard Dock DataPod™,16:08 08/05/2025,2.97000002861023,0,5.967000007629395,47300,74.53399848937988
Lifeguard Dock DataPod™,15:38 08/05/2025,3.259999990463257,-52.20000076293945,5.670000076293945,46330,74.39720153808594
Lifeguard Dock DataPod™,15:08 08/05/2025,2.369999885559082,-134.6000061035156,5.269000053405762,46370,74.49260063171387
Lifeguard Dock DataPod™,14:38 08/05/2025,2.119999885559082,-134.3000030517578,5.039000034332275,46750,74.54120140075683
Lifeguard Dock DataPod™,14:08 08/05/2025,2.160000085830688,-136.8999938964844,4.986999988555908,46680,74.43859939575195
Lifeguard Dock DataPod™,13:39 08/05/2025,2.819999933242798,-136.5,4.967000007629395,46480,74.57360076904297
Lifeguard Dock DataPod™,13:09 08/05/2025,2.819999933242798,-138.8000030517578,4.949999809265137,45160,74.8490005493164
Lifeguard Dock DataPod™,12:39 08/05/2025,2.200000047683716,-148.5,4.985000133514404,45560,74.95520057678223
Lifeguard Dock DataPod™,12:09 08/05/2025,2.369999885559082,-148.3000030517578,4.998000144958496,44720,75.12079887390136
Lifeguard Dock DataPod™,11:39 08/05/2025,2.529999971389771,-151.5,5.01800012588501,44810,75.59419975280761
Lifeguard Dock DataPod™,11:09 08/05/2025,2.680000066757202,-150.6000061035156,4.971000194549561,43980,75.69860076904297
Lifeguard Dock DataPod™,10:39 08/05/2025,2.630000114440918,-148.8999938964844,4.960999965667725,44100,75.94340019226074
Lifeguard Dock DataPod™,10:10 08/05/2025,2.809999942779541,-150.3000030517578,5.032000064849854,44080,75.97940101623536
Lifeguard Dock DataPod™,09:40 08/05/2025,2.940000057220459,-150.5,5.13100004196167,44250,76.0189998626709
Lifeguard Dock DataPod™,09:10 08/05/2025,3.670000076293945,-154.8000030517578,5.098999977111816,44860,75.92179832458497
Lifeguard Dock DataPod™,08:40 08/05/2025,3.599999904632568,-153.3000030517578,5.070000171661377,45440,75.37820167541503
Lifeguard Dock DataPod™,08:10 08/05/2025,3.160000085830688,-146.8000030517578,5.098000049591064,38130,74.65460090637207
Lifeguard Dock DataPod™,07:40 08/05/2025,3.170000076293945,-142.8999938964844,5.111999988555908,47160,74.24599876403808
Lifeguard Dock DataPod™,07:10 08/05/2025,3.22000002861023,-141.1000061035156,4.914999961853027,48750,73.97059898376465
Lifeguard Dock DataPod™,06:40 08/05/2025,3.25,-140.6000061035156,4.940000057220459,48050,73.81220016479492
Lifeguard Dock DataPod™,06:11 08/05/2025,3.5,-143.1000061035156,5.033999919891357,45500,73.85
Lifeguard Dock DataPod™,05:41 08/05/2025,4.110000133514404,-144.3000030517578,5.008999824523926,46080,73.96700096130371
Lifeguard Dock DataPod™,05:11 08/05/2025,3.950000047683716,-142.3000030517578,4.980000019073486,46810,74.1740005493164
Lifeguard Dock DataPod™,04:41 08/05/2025,4.070000171661377,-146.8999938964844,5.001999855041504,46590,74.78060035705568
Lifeguard Dock DataPod™,04:11 08/05/2025,4.269999980926514,-141.6000061035156,4.977000236511231,45540,75.07940101623535
Lifeguard Dock DataPod™,03:41 08/05/2025,4.369999885559082,-143.3999938964844,4.835000038146973,45670,75.38720016479492
Lifeguard Dock DataPod™,03:12 08/05/2025,4.489999771118164,-145.1999969482422,4.76200008392334,47000,75.50600013732911
Lifeguard Dock DataPod™,02:42 08/05/2025,4.920000076293945,-132.3999938964844,4.535999774932861,45550,75.65719947814942
Lifeguard Dock DataPod™,02:12 08/05/2025,4.820000171661377,-129.8000030517578,4.540999889373779,46230,75.54920043945313
Lifeguard Dock DataPod™,01:42 08/05/2025,5.099999904632568,-132.1000061035156,5.087999820709229,46720,75.83720016479492
Lifeguard Dock DataPod™,01:12 08/05/2025,5.699999809265137,-136.3999938964844,5.434999942779541,47200,75.94700164794921
Lifeguard Dock DataPod™,00:42 08/05/2025,5.300000190734863,-136.6000061035156,5.677000045776367,47570,76.24940032958985
Lifeguard Dock DataPod™,00:12 08/05/2025,4.239999771118164,-133.3000030517578,6.019000053405762,48200,75.99379997253418
Lifeguard Dock DataPod™,23:42 08/04/2025,4.059999942779541,-124.5999984741211,6.103000164031982,48320,75.91459884643555
Lifeguard Dock DataPod™,23:12 08/04/2025,4.239999771118164,-123.5999984741211,6.401999950408936,47620,76.04059829711915
Lifeguard Dock DataPod™,22:43 08/04/2025,3.940000057220459,-119.8000030517578,6.434000015258789,48310,75.86600151062012
Lifeguard Dock DataPod™,22:13 08/04/2025,4.010000228881836,-116.5,6.827000141143799,47650,75.63740005493165
Lifeguard Dock DataPod™,21:43 08/04/2025,3.710000038146973,-115.5999984741211,6.785999774932861,48300,75.34039840698242
Lifeguard Dock DataPod™,21:13 08/04/2025,3.329999923706055,-102.5999984741211,6.701000213623047,47370,75.4610008239746
Lifeguard Dock DataPod™,20:43 08/04/2025,3.920000076293945,-107.3000030517578,6.791999816894531,47960,75.11359939575195
Lifeguard Dock DataPod™,20:13 08/04/2025,4.53000020980835,-103.8000030517578,6.811999797821045,47090,74.98399848937989
Lifeguard Dock DataPod™,19:43 08/04/2025,4.730000019073486,-102.3000030517578,6.729000091552734,47510,74.76439895629883
Lifeguard Dock DataPod™,19:13 08/04/2025,5.010000228881836,-113.8000030517578,6.607999801635742,47760,74.52679901123047
Lifeguard Dock DataPod™,18:44 08/04/2025,2.960000038146973,-123.0999984741211,6.973999977111816,48160,74.50159912109375
Lifeguard Dock DataPod™,18:14 08/04/2025,2.180000066757202,-129.6000061035156,6.201000213623047,47310,74.30719947814941
Lifeguard Dock DataPod™,17:44 08/04/2025,2.029999971389771,-132.1999969482422,6.315999984741211,47970,74.26760063171386
Lifeguard Dock DataPod™,17:14 08/04/2025,1.960000038146973,-138.1000061035156,5.840000152587891,48110,73.98139991760253
Lifeguard Dock DataPod™,16:44 08/04/2025,1.570000052452087,-130.5,5.935999870300293,48220,74.19200096130372
Lifeguard Dock DataPod™,16:14 08/04/2025,1.47000002861023,-133.8000030517578,5.889999866485596,48060,74.07679901123046
Lifeguard Dock DataPod™,15:44 08/04/2025,1.669999957084656,-127.8000030517578,5.814000129699707,48720,74.12179832458497
Lifeguard Dock DataPod™,15:14 08/04/2025,1.919999957084656,-129.3999938964844,5.732999801635742,49090,74.09120140075683
Lifeguard Dock DataPod™,14:44 08/04/2025,1.879999995231628,-129.6000061035156,5.631999969482422,46740,74.2891990661621
Lifeguard Dock DataPod™,14:15 08/04/2025,1.960000038146973,-131,5.553999900817871,46320,73.70960159301758
Lifeguard Dock DataPod™,13:45 08/04/2025,1.850000023841858,-125.4000015258789,5.507999897003174,47460,74.18120002746582
Lifeguard Dock DataPod™,13:15 08/04/2025,1.990000009536743,-132.3999938964844,5.556000232696533,49620,74.32519989013672
Lifeguard Dock DataPod™,12:45 08/04/2025,1.990000009536743,-136.6999969482422,5.548999786376953,45690,74.4098014831543
Lifeguard Dock DataPod™,12:15 08/04/2025,1.980000019073486,-137.8999938964844,5.583000183105469,47560,74.78239936828614
Lifeguard Dock DataPod™,11:45 08/04/2025,2.029999971389771,-134.8999938964844,5.589000225067139,45660,74.78239936828614
Lifeguard Dock DataPod™,11:15 08/04/2025,2.009999990463257,-129.3000030517578,5.557000160217285,45650,75.06680107116699
Lifeguard Dock DataPod™,10:46 08/04/2025,2.140000104904175,-129.6999969482422,5.579999923706055,45570,75.22880134582519
Lifeguard Dock DataPod™,10:16 08/04/2025,2.309999942779541,-136.5,5.631999969482422,36070,75.43759994506836
Lifeguard Dock DataPod™,09:46 08/04/2025,2.480000019073486,-131.1000061035156,5.668000221252441,36570,75.52940101623535
Lifeguard Dock DataPod™,09:16 08/04/2025,2.559999942779541,-129.3999938964844,5.730999946594238,37210,75.56720085144043
Lifeguard Dock DataPod™,08:46 08/04/2025,3.039999961853027,-124.5999984741211,5.881999969482422,37840,75.34579887390137
Lifeguard Dock DataPod™,08:16 08/04/2025,3.569999933242798,-127.5,12.98200035095215,39520,75.06680107116699
Lifeguard Dock DataPod™,07:46 08/04/2025,2.289999961853027,-119.5999984741211,13.15900039672852,41560,74.48359870910645
Lifeguard Dock DataPod™,07:16 08/04/2025,2.420000076293945,-115.9000015258789,5.52299976348877,41490,74.210001373291
Lifeguard Dock DataPod™,06:47 08/04/2025,3.039999961853027,-111.1999969482422,5.528999805450439,42050,73.9651985168457
Lifeguard Dock DataPod™,06:17 08/04/2025,3.529999971389771,-110.3000030517578,5.515999794006348,39670,73.80139923095703
Lifeguard Dock DataPod™,05:47 08/04/2025,2.390000104904175,-105.4000015258789,5.578999996185303,41230,73.88779983520509
Lifeguard Dock DataPod™,05:17 08/04/2025,2.690000057220459,-100.3000030517578,5.572000026702881,40970,73.96700096130371
Lifeguard Dock DataPod™,04:47 08/04/2025,3.650000095367432,-98.30000305175781,5.548999786376953,41140,73.98680038452149
Lifeguard Dock DataPod™,04:17 08/04/2025,3.799999952316284,-90.0999984741211,5.422999858856201,49630,74.08040046691895
Lifeguard Dock DataPod™,03:48 08/04/2025,3.529999971389771,-89.80000305175781,5.36299991607666,49720,74.5591983795166
Lifeguard Dock DataPod™,03:18 08/04/2025,3.740000009536743,-85.80000305175781,5.296000003814697,50870,74.84720153808594
Lifeguard Dock DataPod™,02:48 08/04/2025,2.420000076293945,-73.5,5.236999988555908,50680,74.90839881896973
Lifeguard Dock DataPod™,02:18 08/04/2025,2.710000038146973,-71.5999984741211,5.388999938964844,50360,74.9480010986328
Lifeguard Dock DataPod™,01:48 08/04/2025,2.940000057220459,-69.0999984741211,5.760000228881836,50990,75.05420112609863
Lifeguard Dock DataPod™,01:18 08/04/2025,3.059999942779541,-73.30000305175781,5.863999843597412,50650,75.3259994506836
Lifeguard Dock DataPod™,00:48 08/04/2025,3.089999914169312,-73.19999694824219,5.974999904632568,50410,75.47179832458497
Lifeguard Dock DataPod™,00:18 08/04/2025,3.22000002861023,-62.29999923706055,5.952000141143799,50600,75.68600082397461
Lifeguard Dock DataPod™,23:49 08/03/2025,2.890000104904175,-58.40000152587891,6.014999866485596,50320,75.40340156555176
Lifeguard Dock DataPod™,23:19 08/03/2025,2.960000038146973,-57.29999923706055,6.34499979019165,50570,75.16220016479491
Lifeguard Dock DataPod™,22:49 08/03/2025,3.180000066757202,-48.09999847412109,6.513000011444092,50410,75.41060104370116
Lifeguard Dock DataPod™,22:19 08/03/2025,3.160000085830688,-50.40000152587891,6.656000137329102,50600,74.89760131835938
Lifeguard Dock DataPod™,21:49 08/03/2025,2.97000002861023,-50.09999847412109,6.828999996185303,50260,74.96780052185058
Lifeguard Dock DataPod™,21:19 08/03/2025,2.890000104904175,-22.10000038146973,6.915999889373779,50490,74.84360008239747
Lifeguard Dock DataPod™,20:49 08/03/2025,2.769999980926514,-48.40000152587891,6.77899980545044,50160,74.76439895629883
Lifeguard Dock DataPod™,20:19 08/03/2025,2.609999895095825,-106.1999969482422,6.938000202178955,50520,75.0110008239746
Lifeguard Dock DataPod™,19:50 08/03/2025,2.599999904632568,-93.30000305175781,6.806000232696533,50510,74.66000137329101
Lifeguard Dock DataPod™,19:20 08/03/2025,2.339999914169312,-77,6.671999931335449,50370,74.62579956054688
Lifeguard Dock DataPod™,18:50 08/03/2025,2.5,-156.1999969482422,6.691999912261963,50340,74.33419837951661
Lifeguard Dock DataPod™,18:20 08/03/2025,2.119999885559082,-155.6999969482422,6.342999935150147,50460,74.22440032958984
Lifeguard Dock DataPod™,17:50 08/03/2025,2.559999942779541,-160.3999938964844,6.576000213623047,50010,74.13979873657226
Lifeguard Dock DataPod™,17:20 08/03/2025,2.539999961853027,-164,6.355000019073486,49780,74.03000068664551
Lifeguard Dock DataPod™,16:50 08/03/2025,1.779999971389771,-158.3999938964844,6.013000011444092,49220,73.56919975280762
Lifeguard Dock DataPod™,16:20 08/03/2025,1.75,-162.6999969482422,5.855000019073486,49030,73.48279914855956
Lifeguard Dock DataPod™,15:50 08/03/2025,1.759999990463257,-163.3000030517578,5.677999973297119,48040,73.25960159301758
Lifeguard Dock DataPod™,15:21 08/03/2025,1.679999947547913,-163.3999938964844,5.574999809265137,47920,73.51700096130372
Lifeguard Dock DataPod™,14:51 08/03/2025,1.649999976158142,-159.3999938964844,5.531000137329102,47360,73.16780052185058
Lifeguard Dock DataPod™,14:21 08/03/2025,1.700000047683716,-143.8000030517578,5.472000122070313,47780,73.31539840698241
Lifeguard Dock DataPod™,13:51 08/03/2025,1.620000004768372,-145.8999938964844,5.460999965667725,47900,73.47200164794921
Lifeguard Dock DataPod™,13:21 08/03/2025,1.870000004768372,-146.6000061035156,5.538000106811523,47690,73.45759925842286
Lifeguard Dock DataPod™,12:51 08/03/2025,1.809999942779541,-150.5,5.520999908447266,48240,73.89320030212403
Lifeguard Dock DataPod™,12:21 08/03/2025,1.820000052452087,-152.5,5.513000011444092,47350,73.85899848937989
Lifeguard Dock DataPod™,11:52 08/03/2025,1.919999957084656,-151.8999938964844,5.494999885559082,48770,74.39900054931641
Lifeguard Dock DataPod™,11:22 08/03/2025,1.889999985694885,-148.3999938964844,5.454999923706055,48200,74.49980010986329
Lifeguard Dock DataPod™,10:52 08/03/2025,2.049999952316284,-156.3000030517578,5.489999771118164,47590,74.75719947814942
Lifeguard Dock DataPod™,10:22 08/03/2025,1.990000009536743,-146.8000030517578,5.488999843597412,46660,75.15139923095704
Lifeguard Dock DataPod™,09:52 08/03/2025,2.099999904632568,-138.1999969482422,5.505000114440918,45970,75.2629997253418
Lifeguard Dock DataPod™,09:22 08/03/2025,2.039999961853027,-130.6000061035156,5.53000020980835,45150,75.40340156555176
Lifeguard Dock DataPod™,08:52 08/03/2025,2.049999952316284,-117.6999969482422,5.548999786376953,45640,75.44120140075682
Lifeguard Dock DataPod™,08:22 08/03/2025,2.190000057220459,-101.1999969482422,5.5,45360,75.47539978027345
Lifeguard Dock DataPod™,07:53 08/03/2025,2.180000066757202,-161.1000061035156,5.505000114440918,47600,75.31700096130372
Lifeguard Dock DataPod™,07:23 08/03/2025,2.140000104904175,-170.8000030517578,5.491000175476074,49230,74.87960090637208
Lifeguard Dock DataPod™,06:53 08/03/2025,2.019999980926514,-164.8999938964844,5.51200008392334,51320,74.49800109863281
Lifeguard Dock DataPod™,06:23 08/03/2025,1.97000002861023,-169.8999938964844,5.507999897003174,51290,74.40259857177735
Lifeguard Dock DataPod™,05:53 08/03/2025,1.919999957084656,-161.3000030517578,5.482999801635742,50870,73.94539909362793
Lifeguard Dock DataPod™,05:23 08/03/2025,3.430000066757202,-157.3000030517578,5.445000171661377,51100,73.86800041198731
Lifeguard Dock DataPod™,04:53 08/03/2025,2.190000057220459,-155.3999938964844,5.432000160217285,50910,73.89320030212403
Lifeguard Dock DataPod™,04:24 08/03/2025,1.789999961853027,-145.8999938964844,5.313000202178955,51530,73.91840019226073
Lifeguard Dock DataPod™,03:54 08/03/2025,1.490000009536743,-146.8000030517578,5.234000205993652,51270,73.81040115356446
Lifeguard Dock DataPod™,03:24 08/03/2025,1.549999952316284,-146.8000030517578,5.228000164031982,51440,73.8788013458252
Lifeguard Dock DataPod™,02:54 08/03/2025,1.850000023841858,-138.1000061035156,5.186999797821045,50930,73.91120071411133
Lifeguard Dock DataPod™,02:24 08/03/2025,2.319999933242798,-126.0999984741211,5.176000118255615,50620,74.0858009338379
Lifeguard Dock DataPod™,01:54 08/03/2025,2.339999914169312,-137.8000030517578,5.322999954223633,50650,73.98319892883302
Lifeguard Dock DataPod™,01:24 08/03/2025,2.440000057220459,-122.8000030517578,5.546999931335449,50470,74.4908016204834
Lifeguard Dock DataPod™,00:54 08/03/2025,2.47000002861023,-118.6999969482422,5.685999870300293,50260,74.77519989013672
Lifeguard Dock DataPod™,00:25 08/03/2025,2.47000002861023,-107.5,5.835000038146973,50410,74.7391990661621
Lifeguard Dock DataPod™,23:55 08/02/2025,2.579999923706055,-86.5999984741211,5.86899995803833,50490,74.90659980773927
Lifeguard Dock DataPod™,23:25 08/02/2025,2.619999885559082,-89.0999984741211,6.006999969482422,50510,74.72840156555176
Lifeguard Dock DataPod™,22:55 08/02/2025,2.380000114440918,-72.9000015258789,6.150000095367432,50440,74.88139991760254
Lifeguard Dock DataPod™,22:25 08/02/2025,2.369999885559082,-79.5999984741211,6.440000057220459,50480,75.10639991760253
Lifeguard Dock DataPod™,21:55 08/02/2025,2.259999990463257,-71.9000015258789,6.565000057220459,50070,74.76800041198732
Lifeguard Dock DataPod™,21:25 08/02/2025,2.329999923706055,-187.3000030517578,6.859000205993652,50380,74.79679832458497
Lifeguard Dock DataPod™,20:56 08/02/2025,2.25,-184,6.914999961853027,50380,74.70320167541503
Lifeguard Dock DataPod™,20:26 08/02/2025,2.150000095367432,-192.3999938964844,6.921000003814697,50410,74.4889991760254
Lifeguard Dock DataPod™,19:56 08/02/2025,2.099999904632568,-180.8999938964844,6.920000076293945,50850,74.26760063171386
Lifeguard Dock DataPod™,19:26 08/02/2025,2.049999952316284,-190.5,6.443999767303467,50540,74.09479942321778
Lifeguard Dock DataPod™,18:56 08/02/2025,1.820000052452087,-186.6000061035156,6.741000175476074,50520,74.19920043945314
Lifeguard Dock DataPod™,18:26 08/02/2025,1.149999976158142,-179.3000030517578,6.413000106811523,50910,73.72579956054688
Lifeguard Dock DataPod™,17:56 08/02/2025,1.100000023841858,-188,6.285999774932861,50650,73.6988006591797
Lifeguard Dock DataPod™,17:26 08/02/2025,1.340000033378601,-191.8999938964844,6.084000110626221,50600,73.41439895629884
Lifeguard Dock DataPod™,16:56 08/02/2025,1.090000033378601,-187.6999969482422,5.769000053405762,50420,73.35500068664551
Lifeguard Dock DataPod™,16:26 08/02/2025,0.8899999856948853,-188.6999969482422,5.64300012588501,50760,73.1011993408203
Lifeguard Dock DataPod™,15:57 08/02/2025,1.700000047683716,-179.5,5.724999904632568,50760,73.20019989013672
Lifeguard Dock DataPod™,15:27 08/02/2025,1.830000042915344,-194.3000030517578,5.630000114440918,50510,73.12460021972656
Lifeguard Dock DataPod™,14:57 08/02/2025,1.940000057220459,-188.8000030517578,5.697999954223633,50010,73.15520057678222
Lifeguard Dock DataPod™,14:27 08/02/2025,1.679999947547913,-180.6999969482422,5.605000019073486,49880,73.29200096130371
Lifeguard Dock DataPod™,13:57 08/02/2025,1.879999995231628,-187.6000061035156,5.592000007629395,50520,73.3478012084961
Lifeguard Dock DataPod™,13:27 08/02/2025,1.940000057220459,-192.3000030517578,5.611999988555908,49220,73.4629997253418
Lifeguard Dock DataPod™,12:57 08/02/2025,1.919999957084656,-180.8999938964844,5.604000091552734,49040,73.72759857177735
Lifeguard Dock DataPod™,12:27 08/02/2025,1.97000002861023,-180.8000030517578,5.598000049591065,49250,73.78520126342774
Lifeguard Dock DataPod™,11:58 08/02/2025,1.950000047683716,-175.1000061035156,5.599999904632568,49020,74.0120002746582
Lifeguard Dock DataPod™,11:28 08/02/2025,2.039999961853027,-178,5.635000228881836,48360,74.10560035705566
Lifeguard Dock DataPod™,10:58 08/02/2025,1.97000002861023,-183.3999938964844,5.657000064849854,49180,74.1631996154785
Lifeguard Dock DataPod™,10:28 08/02/2025,2.029999971389771,-175.3999938964844,5.651999950408936,48350,74.2370002746582
Lifeguard Dock DataPod™,09:58 08/02/2025,2.059999942779541,-173.6000061035156,5.664999961853027,47630,74.59160118103027
Lifeguard Dock DataPod™,09:28 08/02/2025,2.599999904632568,-189.6999969482422,5.730000019073486,47760,74.70320167541503
